times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

047.345  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fennel.vim
047.364  000.010  000.010: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
047.380  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fusion.vim
047.423  000.012  000.012: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
047.445  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
047.463  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glimmer.vim
047.493  000.021  000.021: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glsl.vim
047.512  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
047.532  000.012  000.012: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
047.555  000.014  000.014: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
047.571  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/heex.vim
047.587  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hjson.vim
047.602  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/json5.vim
047.620  000.010  000.010: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
047.640  000.011  000.011: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
047.660  000.011  000.011: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
047.677  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/prisma.vim
047.700  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/pug.vim
047.718  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
047.742  000.015  000.015: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
047.760  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
047.776  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
047.790  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/tlaplus.vim
047.806  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
047.822  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
047.878  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/orgmode.nvim/ftdetect/org.vim
047.895  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/orgmode.nvim/ftdetect/org_archive.vim
047.935  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
047.990  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/ron.vim/ftdetect/ron.vim
048.040  000.023  000.023: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/rust.vim/ftdetect/rust.vim
048.090  000.012  000.012: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/typescript-vim/ftdetect/typescript.vim
048.147  000.007  000.007: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
048.343  000.165  000.165: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-glsl/ftdetect/glsl.vim
048.385  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/flow.vim
048.414  000.021  000.021: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/javascript.vim
048.537  000.088  000.088: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-jsonc/ftdetect/jsonc.vim
048.610  000.035  000.035: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-markdown/ftdetect/markdown.vim
048.679  000.025  000.025: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-toml/ftdetect/toml.vim
048.824  000.008  000.008: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
048.854  000.022  000.022: sourcing /usr/share/vim/vimfiles/ftdetect/espeakfiletype.vim
048.879  000.017  000.017: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
049.312  007.756  006.919: sourcing /usr/share/nvim/runtime/filetype.vim
049.535  000.025  000.025: sourcing /usr/share/nvim/runtime/ftplugin.vim
049.744  000.020  000.020: sourcing /usr/share/nvim/runtime/indent.vim
050.031  000.057  000.057: sourcing /usr/share/nvim/runtime/syntax/synload.vim
050.102  000.306  000.249: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
050.843  000.010  000.010: sourcing /home/chris/.local/share/nvim/site/pack/packer/opt/vim-dirvish/plugin/dirvish.vim
051.152  000.156  000.156: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
051.169  000.007  000.007: sourcing /usr/share/nvim/runtime/plugin/health.vim
051.232  000.055  000.055: sourcing /usr/share/nvim/runtime/plugin/man.vim
051.566  000.157  000.157: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
051.625  000.384  000.226: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
051.744  000.110  000.110: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
052.068  000.315  000.315: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
